status,D_in,gamma0_deg,gamma_impact_deg,omega_impact_rads,V_impact_mps,theta_last,Re_last,note
not_solved,2.5,1,,,,91.0,133723.50640368808,"Unsupported List state Re=133724 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.0,1,,,,91.0,160468.2076844257,"Unsupported List state Re=160468 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.25,1,,,,91.0,173840.55832479452,"Unsupported List state Re=173841 theta=91.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.0,5,,,,95.0,53489.40256147524,"Unsupported List state Re=53489.4 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.25,5,,,,95.0,66861.75320184404,"Unsupported List state Re=66861.8 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.5,5,,,,95.0,80234.10384221285,"Unsupported List state Re=80234.1 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.75,5,,,,95.0,93606.45448258167,"Unsupported List state Re=93606.5 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.0,5,,,,95.0,106978.80512295048,"Unsupported List state Re=106979 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.5,5,,,,95.0,133723.50640368808,"Unsupported List state Re=133724 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.0,5,,,,95.0,160468.2076844257,"Unsupported List state Re=160468 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.25,5,,,,95.0,173840.55832479452,"Unsupported List state Re=173841 theta=95.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.0,10,,,,100.0,53489.40256147524,"Unsupported List state Re=53489.4 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.25,10,,,,100.0,66861.75320184404,"Unsupported List state Re=66861.8 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.5,10,,,,100.0,80234.10384221285,"Unsupported List state Re=80234.1 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.75,10,,,,100.0,93606.45448258167,"Unsupported List state Re=93606.5 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.0,10,,,,100.0,106978.80512295048,"Unsupported List state Re=106979 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.5,10,,,,100.0,133723.50640368808,"Unsupported List state Re=133724 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.0,10,,,,100.0,160468.2076844257,"Unsupported List state Re=160468 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.25,10,,,,100.0,173840.55832479452,"Unsupported List state Re=173841 theta=100.000000 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.0,15,,,,104.99999852249687,53489.40157267761,"Unsupported List state Re=53489.4 theta=104.999999 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.25,15,,,,104.99999785376984,66861.75156733382,"Unsupported List state Re=66861.8 theta=104.999998 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.5,15,,,,104.99999720206715,80234.101536331,"Unsupported List state Re=80234.1 theta=104.999997 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,1.75,15,,,,104.99999661141618,93606.4515622338,"Unsupported List state Re=93606.5 theta=104.999997 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.0,15,,,,104.99999597285402,106978.80148628715,"Unsupported List state Re=106979 theta=104.999996 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,2.5,15,,,,104.99999456028735,133723.50099585718,"Unsupported List state Re=133724 theta=104.999995 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.0,15,,,,104.99999294008207,160468.20015981188,"Unsupported List state Re=160468 theta=104.999993 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
not_solved,3.25,15,,,,104.99999199848817,173840.54955335308,"Unsupported List state Re=173841 theta=104.999992 status=('interpolated_2d_within_measured_slices', 'unsupported_parameter_combination', 'unsupported_parameter_combination')"
