wind_mps,roof_pitch_deg,diameter_in,beta_scale,beta_prescribed,V3_mps,V4_mps,vn3_mps,vn4_mps,vt3_mps,vt4_mps,Fn3_N,Fn4_N,Fn_evidence_status,Fn4_evidence_status
0.0,30.0,1.75,2.0,0.020166666666666666,24.65836052787257,25.155637465184668,21.354766632813106,21.785421093241506,12.329180263936282,12.577818732592332,2370.675424061281,2426.470054169643,published_analytical_application,published_analytical_application
0.0,30.0,2.0,0.0,0.0,25.91243868330134,25.91243868330134,22.44083017374555,22.44083017374555,12.956219341650668,12.956219341650668,3192.465866997778,3192.465866997778,published_analytical_application,published_analytical_application
0.0,30.0,2.0,0.5,0.005671458333333333,25.91243868330134,26.059399999608736,22.44083017374555,22.56810240704136,12.956219341650668,13.029699999804366,3192.465866997778,3214.1328531607383,published_analytical_application,published_analytical_application
0.0,30.0,2.0,1.0,0.011342916666666666,25.91243868330134,26.206361315916137,22.44083017374555,22.695374640337167,12.956219341650668,13.103180657958067,3192.465866997778,3235.867957651351,published_analytical_application,published_analytical_application
0.0,30.0,2.0,1.5,0.017014374999999998,25.91243868330134,26.353322632223534,22.44083017374555,22.822646873632973,12.956219341650668,13.176661316111765,3192.465866997778,3257.672067486388,published_analytical_application,published_analytical_application
0.0,30.0,2.0,2.0,0.022685833333333332,25.91243868330134,26.50028394853093,22.44083017374555,22.94991910692878,12.956219341650668,13.250141974265464,3192.465866997778,3279.5460833769885,published_analytical_application,published_analytical_application
0.0,30.0,2.5,0.0,0.0,27.891703804293886,27.891703804293886,24.154924049349578,24.154924049349578,13.94585190214694,13.94585190214694,5218.0821459226045,5218.0821459226045,published_analytical_application,published_analytical_application
0.0,30.0,2.5,0.5,0.007041666666666666,27.891703804293886,28.08810788524912,24.154924049349578,24.325014972863745,13.94585190214694,14.044053942624558,5218.0821459226045,5264.346087629083,published_analytical_application,published_analytical_application
0.0,30.0,2.5,1.0,0.014083333333333331,27.891703804293886,28.284511966204356,24.154924049349578,24.495105896377915,13.94585190214694,14.142255983102176,5218.0821459226045,5310.84351973354,published_analytical_application,published_analytical_application
0.0,30.0,2.5,1.5,0.021124999999999998,27.891703804293886,28.480916047159596,24.154924049349578,24.66519681989209,13.94585190214694,14.240458023579794,5218.0821459226045,5357.578486540387,published_analytical_application,published_analytical_application
0.0,30.0,2.5,2.0,0.028166666666666663,27.891703804293886,28.677320128114832,24.154924049349578,24.83528774340626,13.94585190214694,14.338660064057414,5218.0821459226045,5404.555123345936,published_analytical_application,published_analytical_application
0.0,30.0,3.0,0.0,0.0,29.257873487113116,29.257873487113116,25.33806170055116,25.33806170055116,14.628936743556554,14.628936743556554,7709.673723054323,7709.673723054323,published_analytical_application,published_analytical_application
0.0,30.0,3.0,0.5,0.00855998611111111,29.257873487113116,29.50832047780345,25.33806170055116,25.554955156790356,14.628936743556554,14.754160238901724,7709.673723054323,7796.257033175675,published_analytical_application,published_analytical_application
0.0,30.0,3.0,1.0,0.01711997222222222,29.257873487113116,29.758767468493783,25.33806170055116,25.771848613029547,14.628936743556554,14.87938373424689,7709.673723054323,7883.469086994446,published_analytical_application,published_analytical_application
0.0,30.0,3.0,1.5,0.02567995833333333,29.257873487113116,30.00921445918412,25.33806170055116,25.988742069268742,14.628936743556554,15.004607229592057,7709.673723054323,7971.323952136811,published_analytical_application,published_analytical_application
0.0,30.0,3.0,2.0,0.03423994444444444,29.257873487113116,30.25966144987445,25.33806170055116,26.205635525507933,14.628936743556554,15.129830724937221,7709.673723054323,8059.836126682618,published_analytical_application,published_analytical_application
0.0,30.0,3.25,0.0,0.0,29.731738339645776,29.731738339645776,25.74844070080501,25.74844070080501,14.865869169822885,14.865869169822885,9101.388768936878,9101.388768936878,published_analytical_application,published_analytical_application
0.0,30.0,3.25,0.5,0.009375,29.731738339645776,30.010473386579953,25.74844070080501,25.989832332375055,14.865869169822885,15.005236693289975,9101.388768936878,9215.205176916093,published_analytical_application,published_analytical_application
0.0,30.0,3.25,1.0,0.01875,29.731738339645776,30.289208433514137,25.74844070080501,26.231223963945105,14.865869169822885,15.144604216757067,9101.388768936878,9329.98201672373,published_analytical_application,published_analytical_application
0.0,30.0,3.25,1.5,0.028124999999999997,29.731738339645776,30.567943480448314,25.74844070080501,26.47261559551515,14.865869169822885,15.283971740224155,9101.388768936878,9445.743361100633,published_analytical_application,published_analytical_application
