wind_speed_mps,direction,wind_x_mps,roof_pitch_deg,diameter_in,vx_impact_mps,vz_impact_mps,V_impact_mps,vn_M3_mps,vt_M3_mps,vn_M4_mps,vt_M4_mps,Fn_M3_N,Fn_M4_N,Fn_evidence
20.0,against_pitch_uphill,20.0,45.0,1.0,19.999999999756977,-19.490052330723035,27.926011885777772,27.923683792294042,0.36058745482417576,28.047717725812653,0.23655352130556284,1189.7670013204597,1196.361057090864,published_analytical_application
20.0,against_pitch_uphill,20.0,45.0,1.25,19.999999979732678,-21.493763456532918,29.35952769910812,29.34052150273382,1.056250283934241,29.487444299164686,1.2031730803651028,1904.2867386768467,1916.9471117302692,published_analytical_application
20.0,against_pitch_uphill,20.0,45.0,1.5,19.999999632063307,-23.19756253839068,30.628857193912395,30.54528914145549,2.261018414334649,30.71478292944248,2.4305122023216383,2807.6684190894766,2829.5444593222705,published_analytical_application
20.0,against_pitch_uphill,20.0,45.0,1.75,19.99999721446507,-24.658360571089652,31.74956117228204,31.57822762682079,3.2939603187001683,31.770024660521155,3.485757352400532,3907.1135864309367,3942.176111101628,published_analytical_application
20.0,against_pitch_uphill,20.0,45.0,2.0,19.9999878478427,-25.912438412402025,32.733071630850404,32.464987949346366,4.180733887630128,32.67876076768237,4.394506705966132,5206.787295970373,5259.84835009289,published_analytical_application
20.0,against_pitch_uphill,20.0,45.0,2.5,19.999915838000092,-27.891703855807897,34.321185549266445,33.864489047498836,5.580336823078639,34.12088041565759,5.836728191237391,8405.197751082225,8511.851571516316,published_analytical_application
20.0,against_pitch_uphill,20.0,45.0,3.0,19.999743578657412,-29.257873491433845,35.4402723529715,34.830395055351765,6.546486442430233,35.12692247660562,6.843013863684086,12355.784786313054,12543.348854122101,published_analytical_application
20.0,against_pitch_uphill,20.0,45.0,3.25,19.999635675830124,-29.731738603695447,35.83241141151976,35.16539199077879,6.881635975499021,35.48074470052587,7.196988685246104,14576.932717097412,14815.672833644363,published_analytical_application
20.0,with_pitch_downhill,-20.0,15.0,1.0,-19.999999999756977,-19.490052330723035,27.926011885777772,13.649563999983314,24.36291325878252,13.818997504101048,24.40831282938164,541.4259707514589,548.4276173860391,published_analytical_application
20.0,with_pitch_downhill,-20.0,15.0,1.25,-19.999999979732678,-21.493763456532918,29.35952769910812,15.585000330008494,24.881511839683945,15.7857006023281,24.93528931557269,920.9677779259785,933.6368545434041,published_analytical_application
20.0,with_pitch_downhill,-20.0,15.0,1.5,-19.999999632063307,-23.19756253839068,30.628857193912395,17.230743955965963,25.322487155274093,17.462276776139845,25.384526187460988,1415.8461033998785,1436.713874362892,published_analytical_application
20.0,with_pitch_downhill,-20.0,15.0,1.75,-19.99999721446507,-24.658360571089652,31.74956117228204,18.641767128462632,25.700567171964305,18.903766748867827,25.770769758669143,2030.1517077036995,2062.289151329957,published_analytical_application
20.0,with_pitch_downhill,-20.0,15.0,2.0,-19.9999878478427,-25.912438412402025,32.733071630850404,19.853115727823354,26.025137353874555,20.14513482830893,26.103383636024127,2765.3878432234387,2812.3980936480816,published_analytical_application
20.0,with_pitch_downhill,-20.0,15.0,2.5,-19.999915838000092,-27.891703855807897,34.321185549266445,21.76495797420927,26.53733938977456,22.115195096425175,26.63118514383171,4590.622311455003,4680.117940534096,published_analytical_application
20.0,with_pitch_downhill,-20.0,15.0,3.0,-19.999743578657412,-29.257873491433845,35.4402723529715,23.084621092350883,26.89076372056741,23.489685082702334,26.999300289665012,6844.184750138216,6995.475266047618,published_analytical_application
