diameter_in,model,roof_pitch_deg,V_impact_mps,vn_mps,vt_mps,beta_prescribed,Fn_peak_N,mu,Ft_sliding_limit_N,contact_evidence_final,aero_evidence_status
1.5,Model 3,30.0,40.58345556321928,36.739678018530356,17.239864400467642,,3758.563331874812,0.8,3006.8506654998496,published_analytical_application,supported
1.5,Model 4,30.0,40.72094810579296,36.94727136044284,17.120010328632496,0.0103333333333333,3797.9547753801794,0.1,379.79547753801796,published_analytical_application,reduced_order_beta
1.5,Model 4,30.0,40.72094810579296,36.94727136044284,17.120010328632496,0.0103333333333333,3797.9547753801794,0.2,759.5909550760359,published_analytical_application,reduced_order_beta
1.5,Model 4,30.0,40.72094810579296,36.94727136044284,17.120010328632496,0.0103333333333333,3797.9547753801794,0.4,1519.1819101520719,published_analytical_application,reduced_order_beta
1.5,Model 4,30.0,40.72094810579296,36.94727136044284,17.120010328632496,0.0103333333333333,3797.9547753801794,0.6,2278.7728652281075,published_analytical_application,reduced_order_beta
1.5,Model 4,30.0,40.72094810579296,36.94727136044284,17.120010328632496,0.0103333333333333,3797.9547753801794,0.8,3038.3638203041437,published_analytical_application,reduced_order_beta
1.75,Model 3,30.0,41.43578759845885,38.004764611590126,16.509462762979993,,5345.74170813131,0.1,534.574170813131,published_analytical_application,supported
1.75,Model 3,30.0,41.43578759845885,38.004764611590126,16.509462762979993,,5345.74170813131,0.2,1069.148341626262,published_analytical_application,supported
1.75,Model 3,30.0,41.43578759845885,38.004764611590126,16.509462762979993,,5345.74170813131,0.4,2138.296683252524,published_analytical_application,supported
1.75,Model 3,30.0,41.43578759845885,38.004764611590126,16.509462762979993,,5345.74170813131,0.6,3207.4450248787857,published_analytical_application,supported
1.75,Model 3,30.0,41.43578759845885,38.004764611590126,16.509462762979993,,5345.74170813131,0.8,4276.593366505048,published_analytical_application,supported
1.75,Model 4,30.0,41.59777434139449,38.23966704178009,16.37384178167652,0.011,5413.254461262597,0.1,541.3254461262597,published_analytical_application,reduced_order_beta
1.75,Model 4,30.0,41.59777434139449,38.23966704178009,16.37384178167652,0.011,5413.254461262597,0.2,1082.6508922525195,published_analytical_application,reduced_order_beta
1.75,Model 4,30.0,41.59777434139449,38.23966704178009,16.37384178167652,0.011,5413.254461262597,0.4,2165.301784505039,published_analytical_application,reduced_order_beta
1.75,Model 4,30.0,41.59777434139449,38.23966704178009,16.37384178167652,0.011,5413.254461262597,0.6,3247.952676757558,published_analytical_application,reduced_order_beta
1.75,Model 4,30.0,41.59777434139449,38.23966704178009,16.37384178167652,0.011,5413.254461262597,0.8,4330.603569010078,published_analytical_application,reduced_order_beta
2.0,Model 3,30.0,42.19411618691477,39.09082238311646,15.882413110308645,,7280.088246573796,0.1,728.0088246573796,published_analytical_application,supported
2.0,Model 3,30.0,42.19411618691477,39.09082238311646,15.882413110308645,,7280.088246573796,0.2,1456.0176493147592,published_analytical_application,supported
2.0,Model 3,30.0,42.19411618691477,39.09082238311646,15.882413110308645,,7280.088246573796,0.4,2912.0352986295184,published_analytical_application,supported
2.0,Model 3,30.0,42.19411618691477,39.09082238311646,15.882413110308645,,7280.088246573796,0.6,4368.052947944278,published_analytical_application,supported
2.0,Model 3,30.0,42.19411618691477,39.09082238311646,15.882413110308645,,7280.088246573796,0.8,5824.070597259037,published_analytical_application,supported
2.0,Model 4,30.0,42.380444834564265,39.35263206847833,15.731257217988519,0.0116666666666666,7389.441255455867,0.1,738.9441255455868,published_analytical_application,reduced_order_beta
2.0,Model 4,30.0,42.380444834564265,39.35263206847833,15.731257217988519,0.0116666666666666,7389.441255455867,0.2,1477.8882510911735,published_analytical_application,reduced_order_beta
2.0,Model 4,30.0,42.380444834564265,39.35263206847833,15.731257217988519,0.0116666666666666,7389.441255455867,0.4,2955.776502182347,published_analytical_application,reduced_order_beta
2.0,Model 4,30.0,42.380444834564265,39.35263206847833,15.731257217988519,0.0116666666666666,7389.441255455867,0.6,4433.66475327352,published_analytical_application,reduced_order_beta
